iter	Passed	Remaining
165	2210	11103
166	2225	11099
167	2238	11084
168	2252	11074
169	2261	11040
170	2270	11008
171	2277	10965
172	2285	10924
173	2291	10876
174	2302	10854
175	2309	10812
176	2321	10792
177	2334	10778
178	2339	10731
179	2355	10731
180	2365	10702
181	2371	10658
182	2380	10626
183	2387	10587
184	2394	10550
185	2402	10514
186	2411	10484
187	2422	10463
188	2433	10441
189	2441	10410
190	2451	10384
191	2465	10376
192	2473	10344
193	2484	10323
194	2492	10288
195	2500	10256
196	2509	10229
197	2517	10198
198	2524	10159
199	2531	10124
200	2536	10084
201	2547	10065
202	2559	10046
203	2568	10022
204	2579	10001
205	2585	9965
206	2595	9943
207	2602	9910
208	2611	9882
209	2617	9845
210	2629	9834
211	2646	9836
212	2659	9826
213	2668	9802
214	2679	9782
215	2689	9760
216	2698	9737
217	2712	9729
218	2722	9707
219	2731	9683
220	2740	9658
221	2748	9632
222	2760	9617
223	2772	9605
224	2784	9589
225	2796	9577
226	2807	9560
227	2821	9552
228	2834	9544
229	2845	9526
230	2857	9512
231	2876	9522
232	2897	9539
233	2913	9538
234	2925	9523
235	2939	9517
236	2947	9490
237	2961	9482
238	2971	9460
239	2977	9429
240	2988	9413
241	2996	9387
242	3006	9365
243	3017	9349
244	3025	9324
245	3034	9299
246	3044	9281
247	3054	9261
248	3068	9255
249	3079	9237
250	3087	9212
251	3096	9192
252	3107	9174
253	3117	9156
254	3129	9143
255	3141	9130
256	3152	9114
257	3164	9101
258	3175	9086
259	3186	9069
260	3199	9058
261	3211	9046
262	3221	9028
263	3231	9009
264	3245	9000
265	3263	9004
266	3277	8996
267	3289	8984
268	3295	8956
269	3302	8929
270	3309	8902
271	3314	8871
272	3324	8852
273	3329	8822
274	3337	8799
275	3349	8786
276	3356	8761
277	3362	8732
278	3368	8703
279	3374	8678
280	3379	8648
281	3387	8625
282	3393	8596
283	3400	8573
284	3406	8546
285	3412	8519
286	3419	8495
287	3424	8466
288	3435	8451
289	3442	8427
290	3453	8415
291	3461	8393
292	3470	8374
293	3476	8349
294	3482	8323
295	3490	8301
296	3499	8282
297	3505	8257
298	3510	8229
299	3518	8208
300	3523	8181
301	3531	8162
302	3537	8137
303	3542	8110
304	3549	8087
305	3554	8062
306	3565	8048
307	3570	8022
308	3577	8000
309	3584	7978
310	3591	7956
311	3598	7935
312	3603	7910
313	3610	7887
314	3616	7863
315	3621	7839
316	3628	7817
317	3637	7801
318	3647	7786
319	3655	7768
320	3664	7751
321	3670	7728
322	3679	7711
323	3685	7689
324	3694	7672
325	3699	7649
326	3708	7631
327	3715	7611
328	3720	7588
329	3726	7565
330	3731	7542
331	3740	7526
332	3747	7506
333	3757	7492
334	3765	7475
335	3772	7455
336	3778	7433
337	3783	7409
338	3790	7390
339	3796	7369
340	3804	7351
341	3811	7333
342	3816	7311
343	3825	7295
344	3831	7274
345	3842	7262
346	3850	7246
347	3858	7228
348	3864	7208
349	3873	7192
350	3880	7175
351	3890	7161
352	3895	7140
353	3904	7124
354	3909	7103
355	3914	7081
356	3920	7061
357	3926	7041
358	3931	7020
359	3939	7003
360	3945	6983
361	3953	6967
362	3960	6950
363	3969	6934
364	3975	6915
365	3985	6903
366	3992	6885
367	3999	6868
368	4007	6852
369	4013	6833
370	4021	6818
371	4028	6800
372	4035	6782
373	4043	6767
374	4054	6757
375	4070	6755
376	4078	6740
377	4086	6724
378	4094	6709
379	4103	6695
380	4109	6676
381	4118	6662
382	4125	6645
383	4134	6633
384	4143	6618
385	4152	6605
386	4160	6590
387	4169	6576
388	4179	6564
389	4185	6545
390	4191	6528
391	4199	6513
392	4204	6493
393	4213	6479
394	4220	6464
395	4227	6447
396	4234	6431
397	4247	6425
398	4257	6413
399	4264	6397
400	4271	6380
401	4280	6367
402	4287	6351
403	4294	6336
404	4300	6318
405	4307	6301
